title,genres,Awful,Bad,Average,Good,Excellent
"Champ, The (1979)",Drama,0,0,1,0,0
"Change-Up, The (2011)",Comedy,1,2,2,5,0
Chaplin (1992),Drama,0,0,0,2,0
Character (Karakter) (1997),Drama,0,2,1,1,0
Chariots of Fire (1981),Drama,0,0,3,6,4
Chasers (1994),Comedy,1,1,0,0,0
Chasing Papi (a.k.a. Papi Chulo) (2003),Comedy,0,1,0,0,0
"Cheap Detective, The (1978)",Comedy,0,0,1,0,0
Cheburashka (1971),Animation,0,0,0,0,1
Cheech & Chong's The Corsican Brothers (1984),Comedy,3,1,0,0,0
Cheech and Chong's Up in Smoke (1978),Comedy,1,1,2,4,3
Chef (2014),Comedy,0,0,2,0,0
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",Drama,0,0,0,1,0
Children of a Lesser God (1986),Drama,0,0,4,5,3
Children of the Corn II: The Final Sacrifice (1993),Horror,0,2,0,0,0
Children of the Corn III (1994),Horror,1,0,0,0,0
Children of the Corn IV: The Gathering (1996),Horror,0,0,0,1,2
Children of the Night (1991),Horror,0,0,0,1,0
Children of the Revolution (1996),Comedy,0,0,1,0,0
"Children's Hour, The (1961)",Drama,0,0,0,2,0
"Children, The (2008)",Horror,0,0,0,1,0
China Blue (2005),Documentary,0,0,0,1,0
Chocolat (1988),Drama,1,0,0,2,1
"Chorus, The (Choristes, Les) (2004)",Drama,0,0,2,4,5
Chouchou (2003),Comedy,0,0,0,1,0
Chris Rock: Bigger & Blacker (1999),Comedy,0,0,1,0,1
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981),Drama,0,0,0,4,0
Christina P: Mother Inferior (2017),Comedy,0,0,1,1,0
Christine (1983),Horror,2,0,4,4,0
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy,0,7,3,11,9
Christopher Columbus: The Discovery (1992),Adventure,0,1,0,0,0
"Chump at Oxford, A (1940)",Comedy,0,0,0,0,1
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,0,0,0,1,0
"Cider House Rules, The (1999)",Drama,1,0,6,13,6
"Cincinnati Kid, The (1965)",Drama,1,0,0,0,0
Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,2,0,3,13,16
Cinemania (2002),Documentary,0,0,0,3,1
"Circle, The (Dayereh) (2000)",Drama,0,0,1,1,0
"Circus, The (1928)",Comedy,0,0,0,2,2
Citizenfour (2014),Documentary,0,0,1,2,1
City of Men (Cidade dos Homens) (2007),Drama,0,0,0,1,0
"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)",Horror,0,0,1,0,0
"Civil Action, A (1998)",Drama,0,2,6,3,0
Clara's Heart (1988),Drama,0,0,1,0,0
Class (1983),Comedy,0,1,1,1,1
Class Act (1992),Comedy,0,1,0,0,0
Class Action (1991),Drama,0,1,0,0,0
Class Reunion (1982),Comedy,1,1,0,0,0
"Class, The (Entre les murs) (2008)",Drama,0,0,2,0,0
"Class, The (Klass) (2007)",Drama,0,1,0,0,1
Clay Pigeons (1998),Crime,0,0,2,0,0
Clean Slate (1994),Comedy,0,3,3,2,0
Clerks (1994),Comedy,3,3,18,49,31
Clerks II (2006),Comedy,0,0,1,10,2
Clockwatchers (1997),Comedy,0,0,1,4,1
Clockwise (1986),Comedy,0,0,0,1,0
"Closet, The (Placard, Le) (2001)",Comedy,0,1,1,1,1
Club Paradise (1986),Comedy,0,1,0,0,0
Coach Carter (2005),Drama,0,0,5,2,0
Coal Miner's Daughter (1980),Drama,0,0,1,2,0
Cobb (1994),Drama,0,1,2,3,0
Cocaine Cowboys (2006),Documentary,0,0,0,1,1
Coco Before Chanel (Coco avant Chanel) (2009),Drama,0,0,0,1,0
Coffee Town (2013),Comedy,0,1,1,0,0
Cold Comfort Farm (1995),Comedy,0,0,5,4,1
"Collector, The (La collectionneuse) (1967)",Drama,0,0,0,1,0
College (1927),Comedy,0,0,0,1,0
College Road Trip (2008),Comedy,0,0,0,0,1
Colonia (2016),Thriller,0,1,0,0,0
"Color Purple, The (1985)",Drama,0,0,3,6,3
"Color of Money, The (1986)",Drama,0,1,5,6,1
Coma (1978),Thriller,0,0,1,2,0
Comandante (2003),Documentary,0,0,0,1,0
"Come Back, Little Sheba (1952)",Drama,0,0,0,1,0
"Comebacks, The (2007)",Comedy,2,0,0,0,0
Comedy Central Roast of David Hasselhoff (2010),Comedy,0,0,0,1,0
Comedy Central Roast of James Franco (2013),Comedy,0,0,1,0,0
Comedy of the Strict Regime (1993),Comedy,0,0,0,0,1
Comic Book Villains (2002),Comedy,0,1,1,0,0
Comic Book: The Movie (2004),Comedy,0,0,1,0,0
Comic-Con Episode IV: A Fan's Hope (2011),Documentary,0,1,0,0,0
Comme un chef (2012),Comedy,0,0,0,1,0
Company Man (2000),Comedy,0,1,0,0,0
"Company Men, The (2010)",Drama,0,0,1,0,0
Concussion (2015),Drama,0,1,1,1,0
Confessions of a Teenage Drama Queen (2004),Comedy,0,2,2,0,0
"Conformist, The (Conformista, Il) (1970)",Drama,0,0,0,3,2
Connections (1978),Documentary,0,0,0,0,1
Contact High (2009),Comedy,0,0,1,0,0
"Contempt (Mépris, Le) (1963)",Drama,0,0,1,1,0
Control (2007),Drama,0,0,0,2,1
Cool Hand Luke (1967),Drama,0,0,3,28,26
Cool Runnings (1993),Comedy,0,6,21,7,3
"Cool, Dry Place, A (1998)",Drama,0,0,1,0,0
Cop (1988),Thriller,0,1,0,0,0
Cop and ½ (1993),Comedy,0,1,0,0,0
Cops and Robbersons (1994),Comedy,1,5,3,0,0
Corner Gas: The Movie (2014),Comedy,0,0,0,1,0
"Corporation, The (2003)",Documentary,0,0,1,8,1
"Couch Trip, The (1988)",Comedy,0,1,0,0,0
"Country Girl, The (1954)",Drama,0,0,0,1,0
"Cove, The (2009)",Documentary,0,0,0,3,1
Cradle Will Rock (1999),Drama,0,0,2,1,0
Craig Ferguson: Tickle Fight (2017),Comedy,0,0,1,0,0
Creed (2015),Drama,0,0,1,5,2
Creepshow (1982),Horror,0,4,5,4,1
Creepshow 2 (1987),Horror,0,1,2,1,0
"Crew, The (2000)",Comedy,1,2,0,0,0
Cries and Whispers (Viskningar och rop) (1972),Drama,0,0,0,2,0
Crimson Gold (Talaye sorgh) (2003),Drama,0,0,0,1,0
Crimson Peak (2015),Horror,0,0,0,1,0
Crossing Over (2009),Drama,0,1,0,0,0
Crossroads (1986),Drama,0,1,1,0,1
Crows Zero (Kurôzu zero) (2007),Action,0,0,0,1,1
"Crucible, The (1996)",Drama,0,0,1,3,1
Cruel Intentions (1999),Drama,1,9,9,17,4
"Cruise, The (1998)",Documentary,0,0,0,1,1
Crumb (1994),Documentary,0,0,1,9,7
"Crush, The (1993)",Thriller,0,5,0,1,0
"Cry in the Dark, A (1988)",Drama,0,0,0,2,0
"Cry, the Beloved Country (1995)",Drama,0,0,0,1,1
"Culture High, The (2014)",Documentary,0,0,1,0,0
"Cup, The (Phörpa) (1999)",Comedy,0,0,0,1,1
"Cure, The (1995)",Drama,0,0,1,0,0
"Curse of Frankenstein, The (1957)",Horror,0,0,1,0,0
"Curse of the Jade Scorpion, The (2001)",Comedy,1,0,1,1,0
DC Super Hero Girls: Hero of the Year (2016),Animation,0,0,0,1,0
Dad (1989),Drama,0,0,0,1,0
Dad's Army (1971),Comedy,0,0,0,0,1
Dad's Army (2016),Comedy,0,1,0,0,0
Daddy's Home (2015),Comedy,1,1,1,3,0
Dallas Buyers Club (2013),Drama,1,0,1,8,7
Damage (Fatale) (1992),Drama,0,0,0,1,0
Damien: Omen II (1978),Horror,1,0,1,2,0
"Damned United, The (2009)",Drama,0,0,0,1,1
"Dana Carvey: Straight White Male, 60 (2016)",Comedy,0,0,0,0,1
Dancemaker (1998),Documentary,1,0,0,0,0
Dane Cook: Troublemaker (2014),Comedy,0,0,0,1,0
Dangerous Beauty (1998),Drama,0,0,1,0,2
Dangerous Ground (1997),Drama,0,0,2,0,0
"Dangerous Lives of Altar Boys, The (2002)",Drama,0,0,2,4,0
Dangerous Minds (1995),Drama,2,4,15,14,3
Dark Days (2000),Documentary,0,0,1,2,0
Darwin's Nightmare (2004),Documentary,0,0,0,1,0
Date and Switch (2014),Comedy,0,1,0,0,0
Daughters of the Dust (1991),Drama,0,0,0,1,0
Dave Chappelle: Deep in the Heart of Texas (2017),Comedy,0,0,0,1,0
Dave Chappelle: Equanimity (2017),Comedy,0,0,0,1,0
Dave Chappelle: For What it's Worth (2004),Comedy,0,0,0,1,1
Dave Chappelle: Killin' Them Softly (2000),Comedy,0,0,0,1,0
Dave Chappelle: The Age of Spin (2017),Comedy,0,0,0,1,0
Dave Chappelle: The Bird Revelation (2017),Comedy,0,0,0,1,0
David Cross: Making America Great Again (2016),Comedy,0,0,1,0,0
Dawn of the Planet of the Apes (2014),Sci-Fi,0,3,3,6,3
Day of Wrath (Vredens dag) (1943),Drama,0,0,0,2,0
"Day of the Locust, The (1975)",Drama,0,1,0,0,0
Days of Heaven (1978),Drama,0,0,1,2,0
Days of Wine and Roses (1962),Drama,0,0,0,2,0
Dazed and Confused (1993),Comedy,1,1,8,15,17
De platte jungle (1978),Documentary,0,0,0,0,1
Dead Calm (1989),Thriller,1,1,5,5,0
Dead Man on Campus (1998),Comedy,0,5,1,1,0
Dead Meat (2004),Horror,0,0,0,0,1
Dead Poets Society (1989),Drama,2,4,12,32,36
"Dead Zone, The (1983)",Thriller,0,1,4,6,4
Deadly Friend (1986),Horror,1,2,0,0,0
Deadtime Stories (1987),Horror,1,0,0,0,0
"Deal, The (2008)",Comedy,0,1,0,0,0
Dear God (1996),Comedy,0,0,1,1,0
Dear Wendy (2005),Drama,0,0,1,2,0
Dear Zachary: A Letter to a Son About His Father (2008),Documentary,0,0,1,1,2
Death Note Rewrite: Genshisuru Kami (2007),Mystery,0,0,0,2,0
Death Smiles on a Murderer (1973),Horror,0,1,0,0,0
Death at a Funeral (2007),Comedy,0,0,2,2,0
Death at a Funeral (2010),Comedy,0,0,1,1,0
Death of a Cyclist (Muerte de un ciclista) (1955),Drama,0,0,1,0,0
Death of a Salesman (1985),Drama,0,0,1,0,0
"Decade Under the Influence, A (2003)",Documentary,0,0,0,3,0
December Boys (2007),Drama,0,0,1,0,0
"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary,0,0,1,0,0
"Deep End of the Ocean, The (1999)",Drama,0,0,1,1,0
"Deep End, The (2001)",Drama,1,1,1,0,0
Deepwater Horizon (2016),Drama,0,0,0,1,0
Delirious (1991),Comedy,0,0,3,0,0
Deliver Us from Evil (2006),Documentary,0,0,0,1,1
Delivery Man (2013),Comedy,0,0,4,0,0
"Delta Force, The (1986)",Action,0,1,0,0,0
Delta of Venus (1995),Drama,1,0,0,0,0
Demolition (2016),Drama,0,1,1,2,0
Denis Leary: No Cure for Cancer (1993),Comedy,0,0,1,1,0
Denise Calls Up (1995),Comedy,0,0,0,0,1
Dennis the Menace (1993),Comedy,2,4,1,1,0
"Dennis the Menace Christmas, A (2007)",Comedy,0,1,0,0,0
Departures (Okuribito) (2008),Drama,0,0,1,1,3
Der Herr Karl (1961),Comedy,0,0,1,0,0
Desert Hearts (1985),Drama,0,0,0,0,1
Desierto (2016),Drama,0,0,1,0,0
Designing Woman (1957),Comedy,0,0,0,1,0
Destiny Turns on the Radio (1995),Comedy,1,0,2,0,0
Detachment (2011),Drama,0,0,0,1,0
Detroit Rock City (1999),Comedy,2,2,1,4,1
Deuce Bigalow: European Gigolo (2005),Comedy,0,2,0,0,1
Deuce Bigalow: Male Gigolo (1999),Comedy,6,2,5,4,0
Deuces Wild (2002),Drama,0,1,1,0,0
Devil Dog: The Hound of Hell (1978),Horror,0,0,0,1,0
"Devil and Daniel Johnston, The (2005)",Documentary,0,0,0,0,1
Devil's Playground (2002),Documentary,0,0,0,1,1
DiG! (2004),Documentary,0,0,0,3,1
Diary of a Country Priest (Journal d'un curé de campagne) (1951),Drama,0,0,0,3,0
Diary of a Wimpy Kid: Rodrick Rules (2011),Comedy,0,0,0,1,0
Dick (1999),Comedy,0,0,3,4,1
Dickie Roberts: Former Child Star (2003),Comedy,1,1,2,1,0
"Dictator, The (2012)",Comedy,0,4,1,8,4
Die Frauen von Ravensbrück (2005),Documentary,0,0,0,0,1
"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy,0,0,0,2,1
Dinner Rush (2000),Drama,0,0,0,1,0
Dinner for Schmucks (2010),Comedy,0,1,2,3,1
Dirty Dancing: Havana Nights (2004),Romance,0,0,3,1,1
Dirty Grandpa (2016),Comedy,0,1,2,1,0
Dirty Rotten Scoundrels (1988),Comedy,0,0,1,10,5
Dirty Work (1998),Comedy,0,1,4,1,1
Disaster Movie (2008),Comedy,3,0,0,0,0
Disgrace (2008),Drama,0,0,0,1,0
"Dish, The (2001)",Comedy,0,0,0,6,1
"Distinguished Gentleman, The (1992)",Comedy,0,0,1,1,0
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",Drama,0,0,0,4,1
"Divo, Il (2008)",Drama,0,0,0,2,0
Divorce - Italian Style (Divorzio all'italiana) (1961),Comedy,0,0,0,1,1
Do the Right Thing (1989),Drama,0,2,2,12,11
Doctor Who: A Christmas Carol (2010),Sci-Fi,0,0,0,0,2
Doctor Who: The Runaway Bride (2007),Sci-Fi,0,0,1,1,2
"Doctor, The (1991)",Drama,0,0,0,1,0
Dodgeball: A True Underdog Story (2004),Comedy,3,1,7,20,8
Dog Days (Hundstage) (2001),Drama,0,0,1,0,0
Dogtown and Z-Boyz (2001),Documentary,0,0,1,5,1
"Dolce Vita, La (1960)",Drama,0,0,2,3,1
Dolls (1987),Horror,0,0,1,0,0
Domestic Disturbance (2001),Thriller,0,1,0,0,0
Dominick and Eugene (1988),Drama,0,0,1,0,0
Don Camillo in Moscow (1965),Comedy,0,0,1,0,0
Don't Breathe (2016),Thriller,0,0,2,3,0
Don't Move (Non ti muovere) (2004),Drama,0,0,0,0,1
Don't Say a Word (2001),Thriller,1,1,2,1,0
Don't Tell Mom the Babysitter's Dead (1991),Comedy,3,2,6,2,0
"Door in the Floor, The (2004)",Drama,0,0,1,0,0
"Doors, The (1991)",Drama,2,1,14,15,5
Double Happiness (1994),Drama,0,0,0,2,0
Double Impact (1991),Action,0,1,0,0,1
Double Team (1997),Action,0,0,1,1,1
Down Periscope (1996),Comedy,4,4,12,10,1
Down and Out in Beverly Hills (1986),Comedy,0,1,3,0,1
Down to the Bone (2004),Drama,0,0,1,0,0
Dr. Dolittle (1998),Comedy,3,7,16,6,0
Dr. Dolittle 2 (2001),Comedy,1,4,5,1,0
Dr. Goldfoot and the Bikini Machine (1965),Comedy,0,0,0,0,1
Dracula (1931),Horror,0,0,3,6,0
Dracula 2000 (2000),Horror,1,3,1,0,0
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action,0,0,0,1,0
Drained (O cheiro do Ralo) (2006),Comedy,0,0,0,1,0
"Draughtsman's Contract, The (1982)",Drama,0,0,2,2,1
"Dream Team, The (1989)",Comedy,0,0,2,2,0
"Dreamers, The (2003)",Drama,0,0,3,8,2
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama,0,0,2,1,1
"Dresser, The (1983)",Drama,0,0,1,0,0
Drift (2013),Drama,0,1,0,0,0
Drillbit Taylor (2008),Comedy,0,1,0,0,1
Driving Miss Daisy (1989),Drama,1,1,3,13,5
Drop Dead Gorgeous (1999),Comedy,0,1,5,4,0
Drowning Mona (2000),Comedy,2,1,0,0,0
Drunks (1995),Drama,0,0,1,0,0
Due Date (2010),Comedy,0,2,2,5,1
Dumb and Dumber To (2014),Comedy,0,1,2,0,0
Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy,3,4,3,0,1
Dutch (1991),Comedy,0,0,1,0,0
EDtv (1999),Comedy,0,5,7,7,0
Earth (2007),Documentary,0,0,0,1,0
Earth vs. the Flying Saucers (1956),Sci-Fi,1,0,0,0,0
Earthlings (2006),Documentary,0,0,0,1,0
East is East (1999),Comedy,0,2,1,1,1
East of Eden (1955),Drama,0,0,0,6,0
Easy Money (1983),Comedy,0,1,0,2,1
Eaten Alive (1977),Horror,0,1,0,0,0
Ed (1996),Comedy,2,0,1,1,1
Eddie (1996),Comedy,0,1,3,1,0
Eddie Izzard: Dress to Kill (1999),Comedy,0,0,0,1,1
Eddie Izzard: Glorious (1997),Comedy,0,0,0,1,0
Eddie the Eagle (2016),Comedy,0,1,1,1,0
Eden (2014),Drama,0,0,0,1,0
"Edge of Heaven, The (Auf der anderen Seite) (2007)",Drama,0,0,0,1,0
Eight Men Out (1988),Drama,0,0,3,6,1
"Eighth Day, The (Huitième jour, Le) (1996)",Drama,0,0,0,1,0
Einstein and Eddington (2008),Drama,0,0,0,1,0
Election (1999),Comedy,1,6,11,25,13
Elections Day (2007),Comedy,0,0,0,0,1
Elektra Luxx (2010),Comedy,0,1,0,1,0
Elephant (2003),Drama,0,1,1,6,1
"Elephant Man, The (1980)",Drama,0,0,2,11,4
Elizabeth (1998),Drama,0,3,4,11,5
Elizabeth: The Golden Age (2007),Drama,0,0,2,0,0
Elle (2016),Thriller,0,0,0,1,0
Elmer Gantry (1960),Drama,0,0,0,2,0
"Embalmer, The (Imbalsamatore, L') (2002)",Drama,0,0,0,1,0
Emma (1996),Romance,0,0,0,1,0
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Drama,0,0,1,2,0
"Emperor's New Clothes, The (2001)",Comedy,0,0,0,1,0
Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004),Documentary,0,0,0,0,1
Employee of the Month (2006),Comedy,0,1,4,1,0
Empties (2007),Comedy,0,0,0,0,1
Encino Man (1992),Comedy,1,7,5,2,0
Encounters at the End of the World (2008),Documentary,0,0,0,1,2
"End of the Affair, The (1999)",Drama,0,0,0,1,0
Endgame (2009),Drama,0,0,1,0,0
"Endless Summer, The (1966)",Documentary,0,0,1,0,2
"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",Documentary,0,0,0,1,0
"Enforcer, The (1976)",Crime,0,0,0,1,0
Enron: The Smartest Guys in the Room (2005),Documentary,0,0,1,3,2
Enter the Void (2009),Drama,0,0,0,0,2
Entertaining Angels: The Dorothy Day Story (1996),Drama,0,0,0,0,1
Entourage (2015),Comedy,0,1,0,0,0
Envy (2004),Comedy,0,0,4,0,0
Er ist wieder da (2015),Comedy,1,0,1,0,1
Erin Brockovich (2000),Drama,0,5,19,37,9
Ernest Goes to Camp (1987),Comedy,2,3,0,0,0
Ernest Goes to Jail (1990),Comedy,0,0,0,1,0
Ernest Scared Stupid (1991),Comedy,3,0,2,1,0
Eros (2004),Drama,0,0,0,1,0
Ethan Frome (1993),Drama,0,0,0,1,0
Eve's Bayou (1997),Drama,0,0,1,0,0
Evelyn (2002),Drama,0,0,1,0,0
Even the Rain (También la lluvia) (2010),Drama,0,0,0,1,0
"Everlasting Piece, An (2000)",Comedy,0,0,0,1,0
Every Which Way But Loose (1978),Comedy,0,1,1,1,0
Everybody Wants Some (2016),Comedy,0,0,0,2,1
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),Comedy,1,0,4,6,1
Everything or Nothing: The Untold Story of 007 (2012),Documentary,0,0,1,0,0
Evil Dead (2013),Horror,0,0,1,1,0
Executive Suite (1954),Drama,0,0,1,0,0
Exit to Eden (1994),Comedy,2,6,6,3,0
Exorcist II: The Heretic (1977),Horror,1,3,0,0,0
"Exorcist III, The (1990)",Horror,2,1,0,0,1
Exotica (1994),Drama,0,0,6,6,0
Expelled: No Intelligence Allowed (2008),Documentary,1,0,0,0,0
Experimenter (2015),Drama,0,0,0,0,1
Exposed (2016),Drama,0,1,0,0,0
"Express, The (2008)",Drama,0,0,1,0,0
Exte: Hair Extensions (2007),Horror,0,0,1,0,0
Extract (2009),Comedy,1,0,1,0,0
Extremely Loud and Incredibly Close (2011),Drama,0,1,0,1,0
Eye of the Beholder (1999),Thriller,3,2,1,0,0
"Eye, The (Gin gwai) (Jian gui) (2002)",Thriller,0,0,1,1,0
"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror,0,0,2,0,0
"Eyes of Tammy Faye, The (2000)",Documentary,0,0,0,2,0
"Eyewitness (Janitor, The) (1981)",Thriller,0,0,0,1,0
"F*ck You, Goethe 2 (2015)",Comedy,1,0,0,0,0
"Face in the Crowd, A (1957)",Drama,0,0,0,3,2
Factory Girl (2006),Drama,0,0,0,1,0
Fading Gigolo (2013),Comedy,0,0,0,1,0
Fahrenheit 9/11 (2004),Documentary,1,2,7,24,3
Fair Game (1995),Action,1,4,0,0,0
Fall (1997),Romance,1,0,0,0,0
"Fall of the House of Usher, The (House of Usher) (1960)",Horror,0,0,2,0,0
Falling Angels (2003),Drama,0,0,0,1,0
Family Business (1989),Comedy,0,1,1,0,0
Fandango (1985),Comedy,0,0,3,1,1
Fans (1999),Comedy,0,0,0,0,1
Fantastic Beasts and Where to Find Them (2016),Fantasy,0,1,2,8,3
"Fantastic Fear of Everything, A (2012)",Comedy,0,0,1,0,1
"Fantasticks, The (1995)",Musical,0,0,0,2,0
"Farmer's Daughter, The (1947)",Comedy,0,0,0,1,0
Fast Food Nation (2006),Drama,0,0,1,1,1
"Fast, Cheap & Out of Control (1997)",Documentary,1,0,1,1,0
Fat City (1972),Drama,0,0,0,1,0
Fat Girl (À ma soeur!) (2001),Drama,0,0,1,1,0
Fat Man and Little Boy (1989),Drama,0,0,0,1,0
Fatal Instinct (1993),Comedy,1,1,7,3,0
Father Hood (1993),Comedy,0,0,1,0,0
Father of the Bride (1950),Comedy,1,1,4,4,2
Father of the Bride (1991),Comedy,1,1,2,7,2
Father of the Bride Part II (1995),Comedy,1,8,27,9,4
Fathers' Day (1997),Comedy,2,1,0,0,0
Fear (1996),Thriller,1,1,2,1,2
Fear City: A Family-Style Comedy (La cité de la peur) (1994),Comedy,0,0,0,1,0
Fear of a Black Hat (1994),Comedy,1,0,0,0,0
Fearless (1993),Drama,0,0,3,5,0
Federal Hill (1994),Drama,0,0,1,0,0
Feds (1988),Comedy,0,1,0,0,0
Felicia's Journey (1999),Thriller,0,0,2,1,0
Felony (2013),Thriller,0,0,1,0,0
Female Perversions (1996),Drama,0,1,1,0,0
Fences (2016),Drama,0,0,1,0,0
Ferris Bueller's Day Off (1986),Comedy,1,5,17,54,32
"Fiendish Plot of Dr. Fu Manchu, The (1980)",Comedy,0,1,0,0,0
Fierce Creatures (1997),Comedy,0,1,5,2,0
"Fighter, The (2010)",Drama,0,2,3,14,4
"Fighting Temptations, The (2003)",Drama,0,0,0,1,0
"Filth and the Fury, The (2000)",Documentary,0,0,1,1,0
Finding Forrester (2000),Drama,0,2,6,15,5
Finding Neverland (2004),Drama,1,2,4,21,4
Fired Up (2009),Comedy,0,1,1,2,2
Firewalker (1986),Adventure,0,1,1,0,1
"Fireworks, Should We See It from the Side or the Bottom? (2017)",Animation,0,1,0,0,0
"Firm, The (2009)",Drama,0,0,1,0,0
First Position (2011),Documentary,0,0,0,1,0
"First Wives Club, The (1996)",Comedy,1,5,6,7,2
Fish Story (Fisshu sutôrî) (2009),Comedy,0,0,1,0,0
Fist Fight (2017),Comedy,0,0,0,0,1
Five Deadly Venoms (1978),Action,0,0,0,1,0
Five Easy Pieces (1970),Drama,0,0,0,3,5
Five Element Ninjas (1982),Action,0,0,0,1,0
"Five Senses, The (1999)",Drama,0,0,0,0,1
Flawless (1999),Drama,0,0,1,3,1
Fletch Lives (1989),Comedy,2,5,0,1,1
Flight (2012),Drama,0,1,2,5,1
Flint (2017),Drama,0,0,0,1,0
Flirting (1991),Drama,0,0,0,1,1
Flirting With Disaster (1996),Comedy,1,1,2,5,3
Flowers for Algernon (2000),Drama,0,1,0,0,0
Focus (2001),Drama,0,0,0,1,0
"Fog, The (1980)",Horror,1,2,0,2,0
"Food, Inc. (2008)",Documentary,0,0,3,3,2
Footloose (1984),Drama,1,1,8,5,1
For Richer or Poorer (1997),Comedy,0,2,1,2,0
For Your Consideration (2006),Comedy,0,2,1,1,0
For the Bible Tells Me So (2007),Documentary,0,0,1,1,0
Formula of Love (1984),Comedy,0,0,0,0,1
Fort Tilden (2014),Comedy,0,0,0,1,0
"Fountainhead, The (1949)",Drama,0,0,1,1,0
Four Christmases (2008),Comedy,0,0,2,1,0
"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama,0,0,0,0,1
Four Rooms (1995),Comedy,0,2,5,9,4
"Fourth Protocol, The (1987)",Thriller,0,0,1,0,0
Foxfire (1996),Drama,0,0,1,2,0
Fraktus (2012),Comedy,0,0,0,1,0
Frances (1982),Drama,0,0,0,1,0
Frankenstein Meets the Wolf Man (1943),Horror,1,0,0,0,0
Frankie and Johnny (1966),Comedy,0,0,1,0,0
Fred Armisen: Standup for Drummers (2018),Comedy,0,0,1,1,0
Freddy Got Fingered (2001),Comedy,2,3,4,1,0
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror,0,4,1,0,0
Free to Play (2014),Documentary,0,0,0,0,1
Freedom Writers (2007),Drama,0,0,1,2,1
"French Lieutenant's Woman, The (1981)",Drama,0,0,2,0,0
Frenzy (1972),Thriller,0,0,1,1,0
"Freshman, The (1925)",Comedy,0,0,0,1,0
Friday (1995),Comedy,0,1,5,9,5
Friday After Next (2002),Comedy,1,2,1,1,0
Friday the 13th (2009),Horror,0,0,2,0,0
Friday the 13th Part 2 (1981),Horror,1,3,1,2,0
Friday the 13th Part 3: 3D (1982),Horror,2,2,2,1,0
Friday the 13th Part IV: The Final Chapter (1984),Horror,0,3,2,1,0
Friday the 13th Part V: A New Beginning (1985),Horror,0,1,1,0,0
Friday the 13th Part VI: Jason Lives (1986),Horror,0,1,2,0,1
Friday the 13th Part VII: The New Blood (1988),Horror,0,1,0,0,0
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,1,1,1,0,0
Friendly Persuasion (1956),Drama,0,0,0,1,0
Friends with Kids (2011),Comedy,0,0,1,1,1
Fright Night Part II (1988),Horror,1,0,1,0,0
Frisk (1995),Drama,0,0,1,0,0
From the Terrace (1960),Drama,0,0,1,0,0
"Front Page, The (1974)",Comedy,0,0,0,2,0
Front of the Class (2008),Drama,0,0,0,0,1
Frost/Nixon (2008),Drama,0,0,0,8,1
Frozen Planet (2011),Documentary,0,0,0,0,2
Frozen River (2008),Drama,0,0,0,0,1
Fruitvale Station (2013),Drama,0,0,0,2,0
Fubar (2002),Comedy,0,0,1,0,1
"Fuck You, Goethe (Fack Ju Göhte) (2013)",Comedy,0,1,0,1,0
"Fugitive, The (1947)",Drama,0,0,1,0,0
"Fugitive, The (1993)",Thriller,1,3,35,93,58
Full Moon in Blue Water (1988),Drama,0,1,0,0,0
"Funhouse, The (1981)",Horror,0,1,0,0,0
Funny Farm (1988),Comedy,1,4,3,3,0
"Fury, The (1978)",Horror,1,0,1,2,0
Fuzz (1972),Drama,0,0,1,0,0
G.B.F. (2013),Comedy,0,0,1,0,0
GLOW: The Story of the Gorgeous Ladies of Wrestling (2012),Documentary,0,0,1,0,0
Gabriel Iglesias: Hot and Fluffy (2007),Comedy,0,1,0,0,0
Gaga: Five Foot Two (2017),Documentary,0,0,0,1,0
"Game Plan, The (2007)",Comedy,0,1,1,1,0
Game of Death (1978),Action,0,0,0,2,1
Gandhi (1982),Drama,1,0,5,14,7
Gang Related (1997),Crime,0,0,2,0,0
Garage (2007),Drama,0,0,0,1,0
Garam Masala (2005),Comedy,0,0,0,0,1
"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)",Drama,0,0,1,2,0
